Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Software Engineer,19,Senior,87000,Full-time employee,Unlimited contract,011-050,Startup,500,Golang; ,,,,,,
Software Engineer,10,Senior,79000,Full-time employee,Unlimited contract,011-050,Product,,,,,,,,
Software Engineer,11,Senior,100000,Full-time employee,Unlimited contract,1000+,Product,1000,C++; ,,,,,,
Backend Developer,12,Senior,54000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,6,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,1000,Python; ,,,,,,
Data Scientist,4,Middle,60000,Full-time employee,Unlimited contract,1000+,Ecommerce,180,Python; ,,,,,,
Mobile Developer,7,Senior,64000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Kotlin; ,,,,,,
Frontend Developer,18,Senior,850000,Full-time employee,Unlimited contract,101-1000,Product,5000,JavaScript; ,React; ,,,,,
Software Engineer,12,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Backend Developer,8,Senior,73000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,10,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Data Engineer,6,Middle,83000,Full-time employee,Unlimited contract,1000+,Product,1500,Python; ,,,,,,
Designer (UI/UX),7,Senior,42000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,3,Middle,68000,Full-time employee,Unlimited contract,51-100,E-Commerce,,Python; ,,,,,,
Consultant,16,Senior,100000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,8,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,500,TypeScript; ,,,,,,
Software Engineer,13,Junior,48000,Full-time employee,Unlimited contract,51-100,Product,,C; ,,,,,,
Software Engineer,15,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,0,Golang; ,,,,,,
Engineering Manager,9,Lead,85000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Backend Developer,13,Senior,110000,Full-time employee,Unlimited contract,101-1000,Product,400,Java; ,,,,,,
DevOps,7,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,No,No info,No info,No info,No info,No info,No info,No info
Fullstack Developer,6,Senior,75000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
Senior Data Engineer,9,Senior,90000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Frontend Developer,10,Senior,85000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Frontend Developer,6,Senior,110000,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,Angular; ,,,,,
Software Engineer,10,Senior,110000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
QA Engineer,8,Senior,68000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
DevOps,11,Lead,93000,Part-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Analyst,2,Junior,45000,Full-time employee,Unlimited contract,1000+,Product,,R; ,,,,,,
Software Engineer,15,Senior,80000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,C#; ,,,,,,
Software Engineer,20,Senior,65000,Full-time employee,Unlimited contract,101-1000,Startup,,PHP; ,,,,,,
IT Manager,6,Middle,65000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,9,Middle,60000,Full-time employee,Unlimited contract,1000+,Product,No,Java; ,,,,,,
Mobile Developer,5,Lead,240000,Full-time employee,Unlimited contract,1000+,Product,0,C#; ,,,,,,
QA Engineer,11,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,250,Python; ,,,,,,
Head of IT ,15,Head,80000,Full-time employee,Unlimited contract,101-1000,Product,300,No info,No info,No info,No info,No info,No info,No info
Engineering Manager,20,Lead,85000,Full-time employee,Unlimited contract,011-050,Product,500,Golang; ,,,,,,
Software Engineer,14,Senior,75000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,C++; ,,,,,,
Software Engineer,11,Senior,73000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,12,Lead,90000,Full-time employee,Unlimited contract,011-050,Product,,Kotlin; PHP; ,,,,,,
Mobile Developer,9,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,600,,,,,,iOS; ,
Data Scientist,1,Junior,42000,Full-time employee,Unlimited contract,0-10,Startup,,Python; ,,,,,,
Software Engineer,20,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,500,C++; ,,,,,,
Product Manager,13,Senior,85000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,8,Middle,54000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,8,Senior,77000,Full-time employee,Unlimited contract,1000+,Product,1700,Python; ,,,,,,
Frontend Developer,6,Senior,33000,Full-time employee,Unlimited contract,101-1000,Product,0,JavaScript; ,,,,,,
Software Engineer,13,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
DevOps,11,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Lead Software Developer,13,Lead,65000,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Software Engineer,15,Senior,85000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Backend Developer,4,Senior,70000,Full-time employee,Unlimited contract,011-050,Startup,,Golang; ,,,,,,
Software Engineer,7,Lead,80000,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
Software Engineer,2,Junior,60000,Full-time employee,Unlimited contract,0-10,Consulting / Agency,,Java; ,,,,,,
Data Engineer,7,Senior,90000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Backend Developer,18,Middle,53000,Full-time employee,Unlimited contract,011-050,Product,,PHP; ,,,,,,
Data Scientist,5,Middle,55000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,5,Middle,45000,Full-time employee,Unlimited contract,0-10,Startup,0,Python; ,,,,,,
data engineer,11,Middle,68000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,2,Middle,58000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,TypeScript; ,,,,,,
ML Engineer,15,Lead,80000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,12,Senior,80000,Self-employed (freelancer),Temporary contract,,Consulting / Agency,,Java; ,,,,,,
Software Engineer,8,Senior,130000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Tech recruiting,2.5,Middle,40000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Data Scientist,5,Head,80000,Full-time employee,Unlimited contract,011-050,Startup,0,Python; ,,,,,,
Software Engineer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,ABAP; ,,,,,,
ML Engineer,5,Senior,180000,Self-employed (freelancer),Temporary contract,0-10,Consulting / Agency,,,,,,,,
Software Engineer,10,Senior,151872,Full-time employee,Unlimited contract,1000+,Startup,,Golang; ,,,,,,
ML Engineer,3,Middle,48000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
ML Engineer,1,Junior,57000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Data Scientist,11,Senior,80000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
ML Engineer,3,Middle,65000,Full-time employee,Temporary contract,1000+,Product,No,Python; ,,,,,,
Product Manager,13,Head,90000,Full-time employee,Unlimited contract,1000+,Product,300,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,5,Senior,50000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Swift; ,,,,,,
Data Scientist,2,Junior,52000,Full-time employee,Unlimited contract,0-10,Consulting / Agency,0,R; ,,,,,,
ML Engineer,5,Middle,51000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
Software Engineer,6,Middle,52800,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,C#; ,,,,,,
Data Scientist,1,Junior,55000,Full-time employee,Unlimited contract,1000+,Product,No,Python; ,,,,,,
Software Engineer,12,Lead,95000,Full-time employee,Unlimited contract,101-1000,Product,250,Java; ,,,,,,
ML Engineer,5,Senior,70000,,,,,,Python; ,,,,,,
Data Scientist,4,Middle,61500,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Python; ,,,,,,
Software Engineer,4,Middle,78000,Full-time employee,Unlimited contract,1000+,Semiconductor,,R; ,,,,,,
ML Engineer,1,Middle,500000000,Full-time employee,Unlimited contract,0-10,Startup,0,,,,,,,
Backend Developer,1,Junior,42000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
CTO,15,C-Level,150000,Full-time employee,Unlimited contract,101-1000,Media,0,Java; PHP; ,,,,,,
Software Engineer,14,Head,84000,Full-time employee,Unlimited contract,0-10,Product,0,TypeScript; ,,,,,,
Data Scientist,10,Lead,100000,Full-time employee,Unlimited contract,011-050,Product,0,Python; ,,,,,,
Data Analyst,5,Middle,49000,Full-time employee,Unlimited contract,101-1000,Product,400,R; ,,,,,,
Data Scientist,4,Junior,60000,Full-time employee,Temporary contract,51-100,Consulting / Agency,,Python; ,,,,,,
Data Analyst ,6,Middle,68000,Full-time employee,Unlimited contract,101-1000,Product,1500,Python; ,,,,,,
Backend Developer,5,Senior,70000,Full-time employee,Unlimited contract,101-1000,Startup,600,Java; ,,,,,,
Backend Developer,10,Senior,70000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Java; ,,,,,,
Software Engineer,12,Lead,95000,Full-time employee,Unlimited contract,101-1000,Product,250,Java; ,,,,,,
BI Analyst ,1,Junior,48000,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,,
Software Engineer,10,Lead,115000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,200,,,,,,,
Software Engineer,4,Middle,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,300,Java; Kotlin; ,,,,,,
ML Engineer,1,Junior,49000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Frontend Developer,2,Junior,40000,Full-time employee,Unlimited contract,101-1000,Startup,200 Amazon voucher,,React; ,,,,,
Software Engineer,14,Senior,81500,Full-time employee,Unlimited contract,1000+,Product,460,C; C++; ,,,,,,
BI Developer / Data Engineer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
DevOps,12,Lead,94000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,Kubernetes; 
ML Engineer,4,Senior,100000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
QA Engineer,7,Senior,55000,Full-time employee,Unlimited contract,101-1000,Product,500,Java; ,,,,,,
Data Scientist,,Middle,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,,,
Frontend Developer,14,Senior,80000,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,Angular; ,,,,,
Software Engineer,8,Senior,67000,Full-time employee,Unlimited contract,011-050,Product,1500,C#; ,,,,,,
Backend Developer,12,Middle,56000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,3,Middle,32000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
ML Engineer,13,Junior,45000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,5,Senior,77000,Full-time employee,Unlimited contract,1000+,Product,40,Python; ,,,,,,
Data Scientist,2,Junior,55000,Full-time employee,Unlimited contract,1000+,,600,,,,,,,
Software Engineer,12,Lead,95000,Full-time employee,Unlimited contract,101-1000,Product,250,Java; ,,,,,,
Backend Developer,3,Middle,10001,Part-time employee,Temporary contract,011-050,Consulting / Agency,,,.NET; ,,,,,
Product Manager,5,Middle,70000,Full-time employee,Temporary contract,1000+,Product,,,,,,,,
Senior Scrum Master (RTE),7,Lead,90000,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
QA Engineer,9,Senior,64000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,9,Senior,67473,Full-time employee,Unlimited contract,101-1000,Product,,Groovy; ,Grails; ,,,,,
Software Engineer,12,Lead,95000,Full-time employee,Unlimited contract,101-1000,Product,250,Java; ,,,,,,
Head of BI,7,Head,100000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
QA Engineer,10,Lead,65000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,16,Lead,91000,Full-time employee,Unlimited contract,101-1000,Startup,,Ruby; ,,,,,,
Data Scientist,15,Middle,60000,Full-time employee,Temporary contract,101-1000,Product,0,C++; ,,,,,,
SRE,10,Senior,79000,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
Technical project manager,12,Senior,65000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,PHP; ,,,,,,
Project manager ,13,Senior,108000,Full-time employee,Unlimited contract,1000+,Automotive ,,No info,No info,No info,No info,No info,No info,No info
support engineer,2,Middle,45000,Full-time employee,Unlimited contract,1000+,Startup,,Python; ,,,,,,
Frontend Developer,4,Middle,66000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,8,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,,.NET; ,,,,,
Frontend Developer,6,Middle,66500,Full-time employee,Unlimited contract,1000+,Product,160,JavaScript; ,React; ,,,,,
Backend Developer,8,Senior,64000,Full-time employee,Unlimited contract,1000+,Product,200,Perl; ,,,,,,
Backend Developer,13,Lead,105000,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Software Engineer,8,Senior,83000,Full-time employee,Unlimited contract,1000+,Product,500,Kotlin; ,,,,,,
Software Engineer,8,Senior,52000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Java; ,,,,,,
Software Engineer,10,Senior,62000,Full-time employee,Unlimited contract,1000+,,0,,.NET; ,,,,,
Data Engineer,6,Middle,74000,Full-time employee,Unlimited contract,1000+,Product,200,Python; ,,,,,,
QA Engineer,5,Middle,56700,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Software Engineer,7,Middle,54000,Full-time employee,Temporary contract,51-100,Startup,0,Ruby; ,,,,,,
Security engineer,7,Middle,72000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,8,Senior,85000,Full-time employee,Unlimited contract,1000+,Utilities,,Python; ,,,,,,
DevOps,2,Junior,65000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
Software Engineer,12,Senior,92000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,4,Middle,54000,Full-time employee,Temporary contract,101-1000,Institute,,JavaScript; ,,,,,,
ML Engineer,3,,90000,,,,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Architect,14,Lead,100000,Full-time employee,Temporary contract,51-100,Product,,Haskell; ,,,,,,
Frontend Developer,8,Senior,77250,Full-time employee,Unlimited contract,101-1000,Product,600,JavaScript; ,,,,,,
Backend Developer,3,Middle,57000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
Software Engineer,5,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,no,JavaScript; ,,,,,,
Software Engineer,20,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,800,Ruby; ,,,,,,
Frontend Developer,10,Lead,80000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
ML Engineer,0,Junior,48000,Full-time employee,Unlimited contract,011-050,Startup,0,Python; ,,,,,,
Software Engineer,20,Lead,74000,Full-time employee,Unlimited contract,1000+,Finance,0,Java; ,,,,,,
Data Scientist,14,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,0,R; ,,,,,,
QA Engineer,3,Middle,55000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,2,Junior,25000,Full-time employee,Unlimited contract,011-050,Product,,PHP; ,,,,,,
Data Scientist,2,Junior,48000,Full-time employee,Temporary contract,51-100,Fintech,,Python; ,,,,,,
Software Engineer,6,Head,90000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Data Scientist,0,Junior,58000,Full-time employee,Unlimited contract,1000+,Handel ,,Python; ,,,,,,
Big Data Engineer,3,Middle,65000,Full-time employee,Unlimited contract,101-1000,Consulting and Product,,Python; ,,,,,,
Designer (UI/UX),10,Senior,50400,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,No info,No info,No info,No info,No info,No info,No info
Business Analyst,7,Senior,68500,Full-time employee,Unlimited contract,51-100,Consulting / Agency,350,,,,,,,
Software Engineer,5,Middle,69000,Full-time employee,Unlimited contract,101-1000,Product,800,Python; ,Django; ,,,,,
QA Engineer,7,Senior,48000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,6,Middle,58000,Full-time employee,Unlimited contract,1000+,Product,1000,C++; ,,,,,,
Backend Developer,6,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,200,Golang; ,,,,,,
Data Scientist,6,Middle,57000,Full-time employee,Unlimited contract,0-10,Startup,0,Python; ,,,,,,
Data Scientist,5,Senior,106000,Full-time employee,Unlimited contract,011-050,Product,0,Python; ,,,,,,
Data Analyst,3,Senior,49200,Full-time employee,Unlimited contract,1000+,Product,540,Python; ,,,,,,
Data Scientist,2,Senior,42000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,,,
CTO,22,Head,50000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
ML Engineer,1,Junior,43000,Full-time employee,Unlimited contract,0-10,Startup,,Python; ,,,,,,
Data Scientist,12,Senior,77000,Full-time employee,Unlimited contract,1000+,Startup,0,Python; ,,,,,,
Data Scientist,8,Middle,67000,Full-time employee,Unlimited contract,1000+,Startup,,Python; ,,,,,,
Software Engineer,4,Middle,21000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Data Scientist,5,Senior,40000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,R; ,,,,,,
ML Engineer,5,Senior,64000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
Manager ,6,Head,90000,Full-time employee,Unlimited contract,1000+,Product,,C; ,,,,,,
Data Scientist,2,Junior,25300,Full-time employee,Temporary contract,1000+,Consulting / Agency,0,,,,,,,
Professor,10,Lead,80000,Full-time employee,Unlimited contract,101-1000,Education,,Python; ,,,,,,
Backend Developer,6,Senior,85600,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Data Scientist,2,Middle,55200,Full-time employee,Temporary contract,1000+,Product,,Python; ,,,,,,
AI Management,6,Head,92000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Backend Developer,14,Lead,96000,Full-time employee,Unlimited contract,1000+,Startup,0,Kotlin; ,,,,,,
Frontend Developer,10,Senior,60000,Full-time employee,Unlimited contract,101-1000,Product,0,TypeScript; ,,,,,,
Data Scientist,12,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,240,Python; ,,,,,,
Sales ,31,Head,110000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,No,,,,,,,
Software Engineer,6,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,300,Kotlin; ,,,,,,
Software Engineer,5,Junior,55000,Full-time employee,Unlimited contract,011-050,Product,,C++; ,,,,,,
Backend Developer,15,Senior,172000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Backend Developer,1,Working Student,14400,Working Student,Temporary contract,0-10,Startup,No,Python; ,,,,,,
XR Developer,8,Lead,25000,Full-time employee,Temporary contract,011-050,Startup,0,C#; ,,,,,,
Data Scientist,4,Head,105000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Python; ,,,,,,
Data Scientist,2,Middle,63000,Full-time employee,Unlimited contract,011-050,Product,,Python; ,,,,,,
DevOps,5,Middle,72000,Full-time employee,Unlimited contract,011-050,Startup,,,,,,GCP; ,,Kubernetes; 
DevOps,14,Middle,65000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,PowerShell; ,,,,,,
Backend Developer,13,Senior,83000,Full-time employee,Unlimited contract,51-100,Startup,0,Python; ,,,,,,
Data Engineer,6,Senior,200000,Self-employed (freelancer),Temporary contract,011-050,Startup,,Java; ,,,,,,
Data Scientist,5,Lead,115000,Full-time employee,Unlimited contract,1000+,Pharma,600,Python; ,,,,,,
Frontend Developer,6,Middle,58000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,2,Middle,50000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Backend Developer,9,Senior,75000,Full-time employee,Unlimited contract,51-100,Startup,,Java; ,,,,,,
DevOps,11,Lead,140000,Self-employed (freelancer),Unlimited contract,0-10,Startup,,TypeScript; ,,,,,,
Backend Developer,14,Lead,80000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
"Student, Software Developer, Data Engineer",4,Entry level,54179.13,"Full-time position, part-time position, & self-employed (freelancing, tutoring)",Unlimited contract,0-10,"Full-time position in Education, part-time position in at a data startup",1250.29,,Django; ,,,,,
Engineering Team Lead,10,Lead,65000,Full-time employee,Unlimited contract,101-1000,Product,300,,,,,,,
Software Engineer,7,Senior,49000,Full-time employee,Temporary contract,011-050,Startup,,Python; ,,,,,,
Data Scientist,2,Middle,50000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
ML Engineer,6,Middle,59000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Data Scientist,5,Middle,52500,Full-time employee,Unlimited contract,011-050,Startup,0,Python; ,,,,,,
DevOps,15,Senior,30000,Full-time employee,Unlimited contract,0-10,Startup,,Python; ,,,,,,
Data Analyst,7,Senior,83000,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Software Engineer,15,Senior,59000,Full-time employee,Unlimited contract,0-10,Product,300,C#; ,,,,,,
Backend Developer,3,Middle,10001,Self-employed (freelancer),Unlimited contract,0-10,Startup,No,PHP; ,,,,,,
Data Scientist,3,Middle,50000,Self-employed (freelancer),Unlimited contract,101-1000,Product,no,Python; ,,,,,,
Data Scientist,5,Senior,75000,Full-time employee,Unlimited contract,011-050,Startup,No,Python; ,,,,,,
Frontend Developer,5,Senior,54000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; TypeScript; ,,,,,,
Frontend Developer,5,Middle,58000,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; ,Angular; ,,,,,
ML Engineer,3,Senior,70000,Full-time employee,Temporary contract,101-1000,Product,0,Python; ,,,,,,
Software Engineer,2,Junior,48000,Full-time employee,Unlimited contract,101-1000,Product,,C; ,,,,,,
Software Engineer,9,Middle,88000,Full-time employee,Unlimited contract,1000+,Product,0,C; ,,,,,,
Product Manager,5,Middle,57750,Full-time employee,Unlimited contract,101-1000,Startup,340,No info,No info,No info,No info,No info,No info,No info
Software Engineer,1,Junior,45000,Full-time employee,Unlimited contract,011-050,Product,No,C++; ,,,,,,
Data Scientist,5,Senior,75000,Full-time employee,Unlimited contract,1000+,Bank,1500,Python; SAS; ,,,,,,
Software Engineer,9,Senior,113000,Full-time employee,Unlimited contract,1000+,Corporation ,1800,TypeScript; ,,,,,,
Product Manager,12,Senior,74000,Full-time employee,Unlimited contract,1000+,Product,,,NodeJS; ,,,,,
Data Engineer,7,Senior,82000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Data Scientist,10,Senior,82000,Full-time employee,Unlimited contract,101-1000,Product,200,Python; ,,,,,,
DevOps,6,Senior,64800,Full-time employee,Unlimited contract,011-050,Startup,1000,JavaScript; PHP; Python; ,,,,,,Docker; 
Software Engineer,7,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,0,C; Matlab; ,,,,,,
Software Engineer,16,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,12,Lead,82000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
DataOps Team Lead,10,Lead,80000,Full-time employee,Unlimited contract,1000+,Transport & Logistics,,Java; ,,,,,,
Backend Developer,5,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,9,Middle,77000,Full-time employee,Unlimited contract,1000+,Product,500,Kotlin; TypeScript; ,,,,,,
Data Scientist,5,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,8,Senior,65000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,C++; ,,,,,,
Software Engineer,5,Middle,59064,Full-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
Software Engineer,10,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,,Ruby; ,,,,,,
Software Sales,12,Senior,150000,Full-time employee,Unlimited contract,1000+,Product,200,,,,,,,
QA Engineer,8,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Backend Developer,5,Middle,53500,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,9,Lead,90000,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,4,Middle,75000,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; TypeScript; ,,,,,,
Product Manager,4,Senior,65000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,,60000,Full-time employee,Unlimited contract,101-1000,Product,,TypeScript; ,,,,,,
Software Engineer,16,Senior,62400,Full-time employee,Unlimited contract,1000+,Product,0,,,,,,,
DevOps,8,,62000,Full-time employee,Unlimited contract,51-100,Product,,No info,No info,No info,No info,No info,No info,No info
Beikoch,1,Middle,30000,Full-time employee,Temporary contract,0-10,Biergarten ,,,,,,,,
Software Engineer,16,Senior,90000,Full-time employee,Unlimited contract,101-1000,Product,,,.NET; ,,,,,
Product Management Praktikant,2,Intern,35000,Intern,Temporary contract,0-10,Startup,0,Python; ,,,,,,
Data Scientist,3,Senior,62000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Frontend Developer,9,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; TypeScript; ,,,,,,
Backend Developer,10,Middle,65600,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Mobile Developer,14,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA Engineer,2,Middle,32000,Full-time employee,Unlimited contract,1000+,Non-tech retail,,,,,,,,
Data Analyst,3,Middle,53000,Full-time employee,Unlimited contract,101-1000,Product,1500,,,,,,,
Software Engineer,6,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,40,Scala; ,,,,,,
Data Scientist,6,Lead,78000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
QA Engineer,4,Middle,55500,Full-time employee,,51-100,Startup,400,Kotlin; Swift; ,,,,,,
Software Engineer,20,Senior,100000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
